id,title,genres,averageRating,numVotes,releaseYear
tt0903747,"Breaking Bad","Crime, Drama, Thriller",9.5,2221270,2008
tt5491994,"Planet Earth II",Documentary,9.5,161302,2016
tt0185906,"Band of Brothers","Drama, History, War",9.4,542928,2001
tt0795176,"Planet Earth","Documentary, Family",9.4,222833,2006
tt5152226,"Tree of Life",Drama,9.4,11513,2014
tt7366338,Chernobyl,"Drama, History, Thriller",9.3,900384,2019
tt0306414,"The Wire","Crime, Drama, Thriller",9.3,388602,2002
tt0417299,"Avatar: The Last Airbender","Action, Adventure, Animation",9.3,387051,2005
tt30263074,"Sapne Vs Everyone",Drama,9.3,70695,2023
tt6769208,"Blue Planet II",Documentary,9.3,48133,2017
tt0081846,Cosmos,Documentary,9.3,45181,1980
tt7678620,Bluey,"Animation, Family",9.3,32325,2018
tt9002164,"BB Ki Vines",Comedy,9.3,11246,2015
tt0944947,"Game of Thrones","Action, Adventure, Drama",9.2,2356097,2011
tt0141842,"The Sopranos","Crime, Drama",9.2,494136,1999
tt14392248,Aspirants,Drama,9.2,313461,2021
tt12392504,"Scam 1992: The Harshad Mehta Story","Biography, Crime, Drama",9.2,160112,2020
tt2395695,"Cosmos: A Spacetime Odyssey",Documentary,9.2,130584,2014
tt9253866,"Our Planet",Documentary,9.2,53037,2019
tt9471404,"The Chosen","Drama, History",9.2,50696,2017
tt4202274,"The Filthy Frank Show","Comedy, Short",9.2,33568,2011
tt0071075,"The World at War","Documentary, History, War",9.2,30457,1973
tt9861270,"Çilgin Dersane at the University",Comedy,9.2,11483,2014
tt1475582,Sherlock,"Crime, Drama, Mystery",9.1,1021209,2010
tt2861424,"Rick and Morty","Adventure, Animation, Comedy",9.1,623481,2013
tt2560140,"Attack on Titan","Action, Adventure, Animation",9.1,552427,2013
tt1355642,"Fullmetal Alchemist: Brotherhood","Action, Adventure, Animation",9.1,206541,2009
tt8420184,"The Last Dance","Biography, Documentary, History",9.1,158194,2020
